1,5,12,2021-01-05,5,urgent,1
2,2,2,2021-01-11,2,trivia,1
3,1,15,2021-01-30,1,urgent,1
4,3,2,2021-02-12,3,trivia,1
5,3,2,2021-02-25,3,trivia,1
6,4,8,2021-03-05,4,urgent,1
7,8,14,2021-04-14,3,urgent,1
8,7,1,2021-04-30,4,trivia,1
9,9,16,2021-05-15,5,urgent,1
10,9,12,2021-06-07,5,urgent,1
11,10,12,2021-06-20,2,urgent,1
12,6,5,2021-06-30,2,trivia,1
13,6,4,2021-07-17,2,trivia,1
14,1,14,2021-07-17,1,urgent,1
15,4,2,2021-08-01,4,trivia,1
16,7,12,2021-08-11,4,urgent,1
17,5,5,2021-08-31,5,trivia,1
18,5,1,2021-09-10,5,trivia,1
19,2,10,2021-09-22,2,urgent,1
20,2,4,2021-10-05,2,trivia,1
21,3,1,2021-10-05,3,trivia,1
22,4,13,2021-10-26,4,urgent,1
23,10,12,2021-11-06,2,urgent,1
24,2,1,2021-11-21,2,trivia,1
25,5,2,2021-12-05,5,trivia,1
26,10,5,2021-12-05,2,trivia,1
27,2,2,2021-12-25,2,trivia,1
28,3,6,2022-01-02,3,trivia,1
29,4,8,2022-01-25,4,urgent,1
30,5,12,2022-01-30,5,urgent,1
31,10,1,2022-02-05,2,trivia,1
32,9,10,2022-02-17,5,urgent,1
33,8,2,2022-03-09,3,trivia,1
34,7,5,2022-03-09,4,trivia,1
35,6,5,2022-03-25,2,trivia,1
36,5,15,2022-03-25,5,urgent,1
37,8,10,2022-03-31,3,urgent,1
38,10,2,2022-04-03,2,trivia,1
39,3,4,2022-04-06,3,trivia,1
40,4,5,2022-04-15,4,trivia,1
41,9,10,2022-04-25,5,urgent,1
42,2,6,2022-05-04,2,trivia,1
43,1,7,2022-05-10,1,trivia,1
44,7,10,2022-05-23,4,urgent,1
45,6,12,2022-06-05,2,urgent,1
46,3,5,2022-06-16,3,trivia,0
47,9,6,2022-06-28,5,trivia,0
48,5,15,2022-07-01,5,urgent,0
49,10,12,2022-07-10,2,urgent,0
50,2,5,2022-07-11,2,trivia,0
